NAMESPACE,PRODUCT,IGNORED,IGNORED_REASON,COLLECTIONS
LANDCOVER.CHA12_DOM,LANDCOVER,true,Waiting for MCP use case definition,cha12_dom
LANDCOVER.CHA12_FR,LANDCOVER,true,Waiting for MCP use case definition,cha12_fr
LANDCOVER.CHA18_DOM,LANDCOVER,true,Waiting for MCP use case definition,cha18_dom
LANDCOVER.CHA18_FR,LANDCOVER,true,Waiting for MCP use case definition,cha18_fr
LANDCOVER.CLC00_DOM,LANDCOVER,true,Waiting for MCP use case definition,clc00_dom
LANDCOVER.CLC00_FR,LANDCOVER,true,Waiting for MCP use case definition,clc00_fr
LANDCOVER.CLC06R_DOM,LANDCOVER,true,Waiting for MCP use case definition,clc06r_dom
LANDCOVER.CLC06R_FR,LANDCOVER,true,Waiting for MCP use case definition,clc06r_fr
LANDCOVER.CLC06_DOM,LANDCOVER,true,Waiting for MCP use case definition,clc06_dom
LANDCOVER.CLC06_FR,LANDCOVER,true,Waiting for MCP use case definition,clc06_fr
LANDCOVER.CLC0OR_FR,LANDCOVER,true,Waiting for MCP use case definition,clc00r_fr
LANDCOVER.CLC12R_DOM,LANDCOVER,true,Waiting for MCP use case definition,clc12r_dom
LANDCOVER.CLC12R_FR,LANDCOVER,true,Waiting for MCP use case definition,clc12r_fr
LANDCOVER.CLC12_DOM,LANDCOVER,true,Waiting for MCP use case definition,clc12_dom
LANDCOVER.CLC12_FR,LANDCOVER,true,Waiting for MCP use case definition,clc12_fr
LANDCOVER.CLC18_DOM,LANDCOVER,true,Waiting for MCP use case definition,clc18_dom
LANDCOVER.CLC18_FR,LANDCOVER,true,Waiting for MCP use case definition,clc18_fr
LANDCOVER.CLC90_FR,LANDCOVER,true,Waiting for MCP use case definition,clc90_fr
LANDCOVER.FORESTINVENTORY.V1,LANDCOVER,true,Waiting for MCP use case definition,resu_bdv1_shape
LANDCOVER.FORESTINVENTORY.V2,LANDCOVER,true,Waiting for MCP use case definition,formation_vegetale
LIC_test,,true,Test data,VIGINOND_LIC
LIMITES_ADMINISTRATIVES_EXPRESS.LATEST,LIMITES_ADMINISTRATIVES_EXPRESS,true,Using ADMINEXRESS-COG instead,"arrondissement|arrondissement_municipal|canton|chef_lieu_d_arrondissement|chef_lieu_d_arrondissement_municipal|chef_lieu_d_epci|chef_lieu_de_canton|chef_lieu_de_commune|chef_lieu_de_commune_associee_ou_deleguee|chef_lieu_de_departement|chef_lieu_de_region|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
MESURES_COMPENSATOIRES,unknown,true,Fail to assign to an existing product,"emprises_commune|emprises_lineaires|emprises_polygones|emprises_ponctuelles"
MasseEauTransition972_wfs,,true,Test data,masseeautransition972 — massedeautransition_20152021
NAVIFOREST_PUBLIC,unknown,true,Fail to assign to an existing product,itineraires-bois-ronds
